id_lower,year,radio,population,users,attractiveness,cells_to_build
-99.02285683708922_19.639957238996963,1996,gsm,841727,210431,982565.0,43
-99.20251989391312_19.30118067727593,1996,gsm,841513,210378,834455.0,43
-99.20251989391312_19.38594112873661,1996,gsm,1009580,252395,825344.0,51
-100.7296558769163_22.904116301036076,NA,NA,24,6,0.0,0
-100.1906667064446_22.986839990812282,NA,NA,27,6,0.0,0
-100.46016129168045_23.317226998408007,NA,NA,36,9,0.0,0
-100.9093189337402_24.46707325258056,NA,NA,4,1,0.0,0
-100.81948740532826_24.385282141599326,NA,NA,32,8,0.0,0
-100.81948740532826_24.46707325258056,NA,NA,5,1,0.0,0
-100.5499928200924_24.630496059242333,NA,NA,10,2,0.0,0
-100.3703297632685_24.630496059242333,NA,NA,17,4,0.0,0
-100.28049823485654_24.385282141599326,NA,NA,20,5,0.0,0
-100.9093189337402_25.20078829432483,NA,NA,28,7,0.0,0
-100.81948740532826_24.712127491887145,NA,NA,12,3,0.0,0
-100.7296558769163_24.712127491887145,NA,NA,20,5,0.0,0
-100.46016129168045_25.444387895859457,NA,NA,33,8,0.0,0
-100.3703297632685_24.712127491887145,NA,NA,20,5,0.0,0
-100.7296558769163_26.252816012613508,NA,NA,8,2,0.0,0
-100.63982434850435_26.01086869800926,NA,NA,22,5,0.0,0
-100.63982434850435_26.172222619697713,NA,NA,34,8,0.0,0
-100.63982434850435_26.252816012613508,NA,NA,5,1,0.0,0
-100.5499928200924_25.93010841242947,NA,NA,31,7,0.0,0
-100.5499928200924_26.091573474384994,NA,NA,37,9,0.0,0
-100.5499928200924_26.172222619697713,NA,NA,13,3,0.0,0
-100.5499928200924_26.252816012613508,NA,NA,6,1,0.0,0
-100.46016129168045_26.091573474384994,NA,NA,10,2,0.0,0
-100.3703297632685_26.252816012613508,NA,NA,20,5,0.0,0
-100.28049823485654_26.252816012613508,NA,NA,8,2,0.0,0
-100.10083517803264_26.091573474384994,NA,NA,19,4,0.0,0
-100.9093189337402_26.333353532323734,NA,NA,21,5,0.0,0
-100.9093189337402_26.413835058545235,NA,NA,3,0,0.0,0
-100.9093189337402_26.735198841284596,NA,NA,0,0,0.0,0
-100.9093189337402_26.815398614221458,NA,NA,1,0,0.0,0
-100.81948740532826_26.333353532323734,NA,NA,1,0,0.0,0
-100.81948740532826_26.735198841284596,NA,NA,1,0,0.0,0
-100.81948740532826_26.815398614221458,NA,NA,1,0,0.0,0
-100.7296558769163_26.333353532323734,NA,NA,6,1,0.0,0
-100.7296558769163_26.735198841284596,NA,NA,10,2,0.0,0
-100.7296558769163_26.815398614221458,NA,NA,2,0,0.0,0
-100.63982434850435_26.494260471520562,NA,NA,1,0,0.0,0
-100.63982434850435_26.574629652018167,NA,NA,0,0,0.0,0
-100.5499928200924_26.815398614221458,NA,NA,7,1,0.0,0
-100.46016129168045_26.65494248133258,NA,NA,19,4,0.0,0
-100.46016129168045_26.735198841284596,NA,NA,36,9,0.0,0
-100.46016129168045_26.815398614221458,NA,NA,21,5,0.0,0
-100.46016129168045_26.975627931071763,NA,NA,20,5,0.0,0
-100.3703297632685_26.333353532323734,NA,NA,9,2,0.0,0
-100.3703297632685_27.055657242313234,NA,NA,0,0,0.0,0
-100.28049823485654_26.815398614221458,NA,NA,1,0,0.0,0
-100.28049823485654_26.895541683016987,NA,NA,0,0,0.0,0
-100.28049823485654_26.975627931071763,NA,NA,0,0,0.0,0
-100.28049823485654_27.055657242313234,NA,NA,0,0,0.0,0
-100.1906667064446_26.65494248133258,NA,NA,5,1,0.0,0
-100.1906667064446_26.735198841284596,NA,NA,1,0,0.0,0
-100.1906667064446_26.815398614221458,NA,NA,2,0,0.0,0
-100.10083517803264_26.815398614221458,NA,NA,1,0,0.0,0
-100.10083517803264_26.895541683016987,NA,NA,33,8,0.0,0
-100.9093189337402_27.295402402338105,NA,NA,4,1,0.0,0
-100.9093189337402_27.375202816142718,NA,NA,3,0,0.0,0
-100.9093189337402_27.45494572067861,NA,NA,4,1,0.0,0
-100.9093189337402_27.69382825222259,NA,NA,7,1,0.0,0
-100.9093189337402_27.773339995870302,NA,NA,8,2,0.0,0
-100.81948740532826_27.375202816142718,NA,NA,1,0,0.0,0
-100.81948740532826_27.53463100303685,NA,NA,8,2,0.0,0
-100.81948740532826_27.69382825222259,NA,NA,1,0,0.0,0
-100.7296558769163_27.375202816142718,NA,NA,0,0,0.0,0
-100.7296558769163_27.53463100303685,NA,NA,2,0,0.0,0
-100.7296558769163_27.69382825222259,NA,NA,1,0,0.0,0
-100.63982434850435_27.295402402338105,NA,NA,4,1,0.0,0
-100.63982434850435_27.375202816142718,NA,NA,0,0,0.0,0
-100.63982434850435_27.61425855083609,NA,NA,0,0,0.0,0
-100.5499928200924_27.295402402338105,NA,NA,1,0,0.0,0
-100.5499928200924_27.45494572067861,NA,NA,21,5,0.0,0
-100.5499928200924_27.69382825222259,NA,NA,0,0,0.0,0
-100.46016129168045_27.13562950119585,NA,NA,2,0,0.0,0
-100.46016129168045_27.295402402338105,NA,NA,1,0,0.0,0
-100.46016129168045_27.61425855083609,NA,NA,0,0,0.0,0
-100.46016129168045_27.69382825222259,NA,NA,0,0,0.0,0
-100.3703297632685_27.215544592701203,NA,NA,28,7,0.0,0
-100.3703297632685_27.295402402338105,NA,NA,6,1,0.0,0
-100.3703297632685_27.375202816142718,NA,NA,23,5,0.0,0
-100.3703297632685_27.61425855083609,NA,NA,1,0,0.0,0
-100.28049823485654_27.13562950119585,NA,NA,0,0,0.0,0
-100.28049823485654_27.215544592701203,NA,NA,2,0,0.0,0
-100.28049823485654_27.61425855083609,NA,NA,12,3,0.0,0
-100.1906667064446_27.61425855083609,NA,NA,4,1,0.0,0
-100.10083517803264_27.13562950119585,NA,NA,15,3,0.0,0
-100.10083517803264_27.53463100303685,NA,NA,2,0,0.0,0
-100.10083517803264_27.61425855083609,NA,NA,2,0,0.0,0
-100.9093189337402_28.644112654258493,NA,NA,37,9,0.0,0
-100.81948740532826_28.24918717747822,NA,NA,26,6,0.0,0
-100.63982434850435_28.407334281484882,NA,NA,14,3,0.0,0
-100.5499928200924_28.090805185022827,NA,NA,17,4,0.0,0
-100.5499928200924_28.170025488556703,NA,NA,36,9,0.0,0
-100.46016129168045_28.24918717747822,NA,NA,2,0,0.0,0
-100.46016129168045_28.407334281484882,NA,NA,5,1,0.0,0
-100.3703297632685_28.24918717747822,NA,NA,1,0,0.0,0
-100.28049823485654_28.170025488556703,NA,NA,11,2,0.0,0
-100.28049823485654_28.24918717747822,NA,NA,9,2,0.0,0
-100.1906667064446_28.090805185022827,NA,NA,2,0,0.0,0
-100.1906667064446_28.170025488556703,NA,NA,27,6,0.0,0
-100.10083517803264_28.01152637503609,NA,NA,4,1,0.0,0
-100.9093189337402_28.722920413707833,NA,NA,5,1,0.0,0
-100.9093189337402_28.801668816203076,NA,NA,0,0,0.0,0
-100.9093189337402_28.88035775780543,NA,NA,1,0,0.0,0
-100.9093189337402_28.95898713510335,NA,NA,3,0,0.0,0
