year,id_lower,id_upper,population,area_km2,population_km2,users,cells_to_build,radio,cost,population_served,motorway,primary,secondary,tertiary,trunk,total,attractiveness
2000,-99.02285683708922_19.639957238996963,-98.70844648764738_19.25824126810751,841727,88,9565.079545454546,210431.75,22,gsm,2200000,841727,97.3,0.0,103.6,123.7,65.3,389.9,973000.0
2000,-99.20251989391312_19.30118067727593,-99.6067617717669_19.25824126810751,841513,89,9455.202247191011,210378.25,22,gsm,2200000,841513,82.5,36.1,110.4,161.3,10.6,400.9,825000.0
2000,-99.20251989391312_19.38594112873661,-99.6067617717669_19.25824126810751,1009580,89,11343.595505617976,252395.0,26,gsm,2600000,1009580,81.4,114.2,236.0,204.5,22.2,658.3000000000001,814000.0
2000,-99.20251989391312_18.961701137971993,-99.6067617717669_19.25824126810751,317669,89,3569.314606741573,79417.25,8,gsm,800000,317669,78.3,24.5,45.7,91.1,4.2,243.8,783000.0
2000,-98.6635307234414_19.80907865997758,-98.70844648764738_20.104045576200285,13067,88,148.48863636363637,3266.75,1,gsm,100000,13067,76.5,0.0,12.1,23.7,29.2,141.5,765000.0
2000,-98.8431937802653_19.30118067727593,-98.70844648764738_19.25824126810751,272268,89,3059.191011235955,68067.0,7,gsm,700000,272268,75.2,17.2,39.7,89.5,20.6,242.2,752000.0
2000,-102.07712880309558_21.322936931606314,-102.30170762412546_20.945304610476846,1546,86,17.976744186046513,386.5,1,gsm,100000,1546,72.6,0.0,0.0,15.4,0.0,88.0,726000.0
2000,-99.20251989391312_19.47065748087565,-99.6067617717669_19.25824126810751,1037815,88,11793.352272727272,259453.75,26,gsm,2600000,1037815,71.9,156.7,186.2,201.6,15.2,631.6,719000.0
2000,-99.02285683708922_19.47065748087565,-98.70844648764738_19.25824126810751,681086,88,7739.613636363636,170271.5,18,gsm,1800000,681086,71.7,45.6,51.6,140.3,35.0,344.20000000000005,717000.0
2000,-99.02285683708922_19.555329571527224,-98.70844648764738_19.25824126810751,793628,88,9018.5,198407.0,20,gsm,2000000,793628,67.8,11.5,56.9,138.4,36.6,311.20000000000005,678000.0
2000,-100.63982434850435_23.564480194787976,-100.50507705588642_23.440275316683813,1572,84,18.714285714285715,393.0,1,gsm,100000,1572,63.4,0.0,0.0,32.1,5.4,100.9,634000.0
2000,-104.95173771227806_27.375202816142718,-104.99665347648403_27.494081813419797,264,79,3.3417721518987342,66.0,1,gsm,100000,264,63.4,0.0,0.0,0.0,0.0,63.4,634000.0
2000,-101.98729727468364_21.322936931606314,-102.30170762412546_20.945304610476846,34336,86,399.2558139534884,8584.0,1,gsm,100000,34336,62.7,5.5,15.6,0.0,15.3,99.1,627000.0
2000,-102.16696033150754_21.322936931606314,-102.30170762412546_20.945304610476846,857,86,9.965116279069768,214.25,1,gsm,100000,857,62.6,0.0,0.0,0.0,0.0,62.6,626000.0
2000,-98.39403613820555_19.30118067727593,-98.70844648764738_19.25824126810751,116396,89,1307.8202247191011,29099.0,3,gsm,300000,116396,62.1,31.5,49.7,29.6,0.0,172.9,621000.0
2000,-100.5499928200924_23.234706690272183,-100.50507705588642_23.440275316683813,294,84,3.5,73.5,1,gsm,100000,294,62.0,0.0,0.0,0.0,0.0,62.0,620000.0
2000,-100.10083517803264_25.687495726925793,-100.50507705588642_25.889022851998433,275617,81,3402.679012345679,68904.25,7,gsm,700000,275617,62.0,35.1,16.6,104.8,0.0,218.5,620000.0
2000,-87.88374731400715_20.81999073208341,-87.92866307821312_20.945304610476846,2177,87,25.02298850574713,544.25,1,gsm,100000,2177,62.0,0.0,17.8,19.6,0.0,99.4,620000.0
2000,-88.153241899243_20.736001700460776,-87.92866307821312_20.945304610476846,22081,87,253.80459770114945,5520.25,1,gsm,100000,22081,61.5,15.6,8.2,13.3,0.0,98.6,615000.0
2000,-100.3703297632685_24.139591567151705,-100.50507705588642_24.261843284963483,67,83,0.8072289156626506,16.75,1,gsm,100000,67,61.2,0.0,0.0,8.4,0.0,69.60000000000001,612000.0
2000,-88.60239954130276_20.736001700460776,-88.82697836233264_20.945304610476846,7854,87,90.27586206896552,1963.5,1,gsm,100000,7854,61.0,16.2,13.6,4.7,0.0,95.5,610000.0
