id_lower,year,radio,population,users,attractiveness,cells_to_build
-99.02285683708922_19.639957238996963,2013,lte,841727,210431,982565.0,43
-99.20251989391312_19.30118067727593,2013,lte,841513,210378,834455.0,43
-99.20251989391312_19.38594112873661,2013,lte,1009580,252395,825344.0,51
-99.20251989391312_18.961701137971993,2013,lte,317669,79417,786569.0,16
-98.6635307234414_19.80907865997758,2013,lte,13067,3266,765148.0,1
-98.8431937802653_19.30118067727593,2013,lte,272268,68067,755059.0,14
-99.20251989391312_19.47065748087565,2013,lte,1037815,259453,730793.0,52
-102.07712880309558_21.322936931606314,2013,lte,1546,386,726018.0,1
-99.02285683708922_19.47065748087565,2013,lte,681086,170271,724740.0,35
-99.02285683708922_19.555329571527224,2013,lte,793628,198407,687018.0,40
-100.63982434850435_23.564480194787976,2013,lte,1572,393,634019.0,1
-104.95173771227806_27.375202816142718,2013,lte,264,66,634003.0,1
-101.98729727468364_21.322936931606314,2013,lte,34336,8584,627399.0,2
-102.16696033150754_21.322936931606314,2013,lte,857,214,626010.0,1
-100.10083517803264_25.687495726925793,2013,lte,275617,68904,623403.0,14
-98.39403613820555_19.30118067727593,2013,lte,116396,29099,622308.0,6
-87.88374731400715_20.81999073208341,2013,lte,2177,544,620025.0,1
-100.5499928200924_23.234706690272183,2013,lte,294,73,620004.0,1
-88.153241899243_20.736001700460776,2013,lte,22081,5520,615254.0,2
-100.3703297632685_24.139591567151705,2013,lte,67,16,612001.0,1
-88.60239954130276_20.736001700460776,2013,lte,7854,1963,610090.0,1
-88.51256801289081_20.736001700460776,2013,lte,1933,483,610022.0,1
-100.7296558769163_21.573768030665356,2013,lte,3083,770,606036.0,1
-98.93302530867726_19.47065748087565,2013,lte,439913,109978,605999.0,22
-99.47201447914898_19.978020459734232,2013,lte,15559,3889,604177.0,1
-99.56184600756092_19.30118067727593,2013,lte,333868,83467,602751.0,17
-101.26864504738802_19.893572092467096,2013,lte,3203,800,602036.0,1
-100.3703297632685_24.221541165812983,2013,lte,275,68,601003.0,1
-104.95173771227806_27.295402402338105,2013,lte,6,1,600000.0,1
-99.20251989391312_19.04663635567089,2013,lte,14960,3740,594168.0,1
-99.29235142232508_19.38594112873661,2013,lte,402968,100742,593528.0,21
-103.51443325768682_20.06242360245848,2013,lte,5057,1264,593057.0,1
-99.20251989391312_19.639957238996963,2013,lte,637804,159451,590248.0,32
-103.51443325768682_20.399580758267938,2013,lte,4495,1123,587052.0,1
-100.46016129168045_20.736001700460776,2013,lte,56606,14151,586651.0,3
-103.69409631451072_25.119479734271003,2013,lte,53,13,580001.0,1
-99.74150906438481_16.910656703520466,2013,lte,4545,1136,561050.0,1
-104.5025800702183_21.071676463670826,2013,lte,10173,2543,560117.0,1
-100.46016129168045_20.651966032043,2013,lte,278569,69642,559202.0,14
-100.5499928200924_21.155477408046544,2013,lte,6540,1635,554075.0,1
-100.5499928200924_23.317226998408007,2013,lte,501,125,553006.0,1
-98.75336225185336_19.30118067727593,2013,lte,4143,1035,552047.0,1
-99.11268836550116_19.38594112873661,2013,lte,1265228,316307,551216.0,64
-103.51443325768682_20.14678136179733,2013,lte,1995,498,551023.0,1
-99.56184600756092_19.978020459734232,2013,lte,54265,13566,550617.0,3
-100.3703297632685_24.385282141599326,2013,lte,118,29,550001.0,1
-99.74150906438481_25.606514633611518,2013,lte,128,32,549002.0,1
-87.61425272877129_20.903932972415895,2013,lte,1399,349,545016.0,1
-103.69409631451072_26.172222619697713,2013,lte,29,7,540000.0,1
-106.47887369528124_30.441494401135728,2013,lte,20,5,537000.0,1
-99.83134059279678_16.910656703520466,2013,lte,383122,95780,529210.0,20
-99.47201447914898_17.6825723188687,2013,lte,224,56,527002.0,1
-101.62797116103582_25.525478648254804,2013,lte,140,35,525002.0,1
-100.1906667064446_26.01086869800926,2013,lte,8441,2110,513106.0,1
-103.24493867245096_20.399580758267938,2013,lte,41802,10450,512480.0,3
-88.24307342765495_20.736001700460776,2013,lte,20661,5165,512237.0,2
