year,gid_id,cells_to_build,radio,cost,population_served
2008,MEX.15.105_1,1452,umts,43560000,420065
2008,MEX.9.15_1,2794,umts,83820000,627941
2009,MEX.9.2_1,13504,umts,405120000,569733
2010,MEX.15.56_1,539,umts,16170000,244295
2010,MEX.9.11_1,15530,umts,465900000,558055
2011,MEX.9.6_1,7489,umts,224670000,570002
2012,MEX.9.8_1,2292,umts,68760000,413872
2012,MEX.9.3_1,5545,umts,166350000,528444
2013,MEX.15.62_1,2687,umts,80610000,1225493
2013,MEX.9.7_1,7404,umts,222120000,990627
2014,MEX.9.9_1,3842,umts,115260000,1215394
2015,MEX.15.13_1,4352,umts,130560000,617165
2016,MEX.15.27_1,1687,umts,50610000,329490
2016,MEX.15.53_1,1442,umts,43260000,536807
2016,MEX.15.110_1,11502,umts,345060000,1497596
2017,MEX.15.46_1,451,umts,13530000,149924
2017,MEX.15.32_1,3614,umts,108420000,659135
2018,MEX.14.43_1,15632,umts,468960000,1782856
2019,MEX.15.109_1,752,umts,22560000,199915
2019,MEX.9.4_1,2874,umts,86220000,429976
2020,MEX.9.1_1,9217,umts,276510000,810895
